objectid,type,format,subject,identifier,creator,culture,date,title,materials,measurements,filename,credit,published,web_page,origin,description,altnum
282,Image;StillImage,image/jpeg,"Jones, Albert Edward;British;Patinated copper with ceramic liner and enamel cabochon;Birmingham, England",JSMA2014:38.19,"Jones, Albert Edward",British,ca. 1905,Inkwell,Patinated copper with ceramic liner and enamel cabochon,H. 3-1/8 x W. 4-5/8 x D. 7-7/8 inches,jsma2014_38_19,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27174;type=101,"Birmingham, England","Birmingham metalsmith Albert Edward Jones (1879-1954) established A.E. Jones Ltd. in 1902. In his workshop he collaborated with other like-minded Arts and Crafts designers such as Arthur Dixon of the Birmingham Guild of Handicraft and W. Howson Taylor, founder of Ruskin Pottery. The blue enamel decorating the lid of the inkwell is the fruit of Jones’s collaboration with Taylor, whose workshop produced Ruskin Enamels.",N0915
217,Image;StillImage,image/jpeg,"The T.C. Shop;American;Sterling silver and copper;Chicago, Illinois",JSMA2014:38.20,The T.C. Shop,American,ca. 1915,Serving spoon,Sterling silver and copper,10 inches,jsma2014_38_20,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27175;type=101,"Chicago, Illinois","Serving spoon with hammered finish, sterling silver bowl attached by rivets to copper stem with traditional round-end terminal",N0053
546,Image;StillImage,image/jpeg,"Pearson, John;British;Copper;Newlyn, Cornwall, England",JSMA2014:38.21,"Pearson, John",British,1896,Charger,Copper,Diam. 15-1/2 inches,jsma2014_38_21,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27176;type=101,"Newlyn, Cornwall, England",Charger plate with chased motif of swimming fish in center well and exterior rim.,N0938
547,Image;StillImage,image/jpeg,"Jones, Albert Edward;British;Copper and silver;Birmingham, England",JSMA2014:38.22,"Jones, Albert Edward",British,ca. 1905,Tray,Copper and silver,overall: H. 14 3/4 x W. 20 1/4 in; H. 37.465 x W. 51.435 cm,jsma2014_38_22,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27177;type=101,"Birmingham, England",Copper tray with raised rim and handles. Silver border edge with four silver blossom medallions on rim and handles.,N0056
256,Image;StillImage,image/jpeg,"Heintz Art Metal Shop;American;Sterling silver and bronze;Buffalo, New York","JSMA2014:38.23a,b",Heintz Art Metal Shop,American,ca. 1930,Bookends,Sterling silver and bronze,each: 5-1/8 x 5-5/8 x D. 4-1/8 inches,jsma2014_38_23,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27178;type=101,"Buffalo, New York",,T0145
430,Image;StillImage,image/jpeg,"Nixon, Max;American;Copper and wood;Topeka, Kansas",JSMA2014:38.24,"Nixon, Max",American,ca. 1940,Box,Copper and wood,H. 2-1/2 x W. 4-11/16 x D. 3-7/16 inches,jsma2014_38_24,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27179;type=101,"Topeka, Kansas",,N1495
417,Image;StillImage,image/jpeg,Unknown;British;Copper with fabric liner;England,JSMA2014:38.25,Unknown,British,ca. 1905,Box,Copper with fabric liner,H. 3-3/4 x W. 9-1/4 x D. 6 inches,jsma2014_38_25,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27180;type=101,England,Box with riveted borders and pyramidal lid comprised of four panels.,N1492
548,Image;StillImage,image/jpeg,"Heinrichs, Joseph;American;Copper over stearling silver with wood;New York, New York",JSMA2014:38.26,"Heinrichs, Joseph",American,ca. 1910,Coffee pot,Copper over stearling silver with wood,overall: H. 9 1/4 x W. 7 1/2 in; H. 23.495 x W. 19.05 cm,jsma2014_38_26,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27181;type=101,"New York, New York","Joseph Heinrichs, a German immigrant, established a workshop in Manhattan in the early 1900s. Heinrichs worked primarily in copper, a favored material of Arts and Crafts designers. Rather than leave the copper surface blank, Heinrichs dimpled the body of the coffeepot with hammer marks. A comparison with another set by Joseph Heinrichs 2016:12.187a-e, demonstrates the designer’s versatile range in copperware.",N1560
448,Image;StillImage,image/jpeg,"William Hutton & Sons;British;Sterling silver with wood liner;London, England",JSMA2014:38.27,William Hutton & Sons,British,1902,Cigarette box,Sterling silver with wood liner,H. 2-1/2 x W. 5-13/16 x D. 4-1/2 inches,jsma2014_38_27,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27182;type=101,"London, England","Box with hammered finish and applied foliate strapwork at edges forming four feet. Front panel engraved with inscription that reads ""Sloper from Oscar, 1st April 1904.""",S0021
549,Image;StillImage,image/jpeg,"Dirk van Erp Studio;American;Hammered copper, brown patina;San Francisco, California",JSMA2014:38.28,Dirk van Erp Studio,American,ca. 1929-77,Serving dish,"Hammered copper, brown patina",H. 2-1/2 x W. 17-7/8 x D. 9-7/8 inches,jsma2014_38_28,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27183;type=101,"San Francisco, California","The Dirk van Erp Studio of San Francisco produced this serving dish to hold baking dishes for a more elegant presentation. William van Erp took over his father's business (Dirk van Erp studio) in 1929 and added the ""handwrought"" portion to the die. The ""open box"" die (the right wall of the die had broken off when D'Arcy Gaw's name was removed in 1911) was used from 1913.",P0130
559,Image;StillImage,image/jpeg,"Wallis, Hugh;British;Copper, pewter;Altrincham, England",JSMA2014:38.29,"Wallis, Hugh",British,ca. 1910-15,Charger,"Copper, pewter",Diam. 14-1/2 inches,jsma2014_38_29,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27184;type=101,"Altrincham, England",Charger with inlayed pewter blossom motif at center and geometric pewter inlay along rim.,N0908
499,Image;StillImage,image/jpeg,"Moore, J.C.;American;Copper and wood;California",JSMA2014:38.2a-d,"Moore, J.C.",American,mid-20th century,Coffee service,Copper and wood,A: 10 x 9-3/4 x 5-1/2 inches; B: 5-3/4 x 8 x 5 inches; C: 1/2 x 7-3/4 x 4-1/2 inches,jsma2014_38_2,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27157;type=101,California,"Although Arts and Crafts first reached American designers on the eastern seaboard, the movement quickly moved westward through workshops like Clara Barck Welles’ Kalo Shop in Chicago and Dirk van Erp’s copper workshops in Oakland and San Francisco. California coppersmith J.C. Moore’s mid-century coffee service is illustrative of West Coast Arts and Crafts. The set boasts scrolled wooden handles and finials carved into the shape of flames. In 1953, an ad for Moore’s coffee service appeared in Cattleman Magazine, suggesting that Arts and Crafts designs held appeal for urbanites and cattle ranchers alike.",N0810
428,Image;StillImage,image/jpeg,"Jones, Albert Edward;British;Copper and silver with velvet liner;Birmingham, England",JSMA2014:38.3,"Jones, Albert Edward",British,ca. 1900,Jewelry box,Copper and silver with velvet liner,"H. 3-1/8 x W. 5-1/8 x D. 5-1/ 16 in,",jsma2014_38_3,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27158;type=101,"Birmingham, England","Albert Edward Jones was known for his use of mixed metals, his craftsmanship, and the simplicity of his designs. Individual flowers, as seen on two of the boxes here, were one of his favorite motifs. Jones was best known for his silverwares, but he was equally skilled in other metals, including copper, brass, and bronze. An innovator in metalsmithing, he invented a process that enriched the color of the copper alloy. A green velvet liner adds a touch of luxury.",P0131
449,Image;StillImage,image/jpeg,Unknown;British;Silver with enamel cabochons;England,JSMA2014:38.30,Unknown,British,ca. 1920s,Box,Silver with enamel cabochons,H. 3-3/4 x W. 6-5/8 x D. 6-3/4 inches,jsma2014_38_30,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27185;type=101,England,Box with hammered finish and foliate borders that form bracket feet. Cover decorated with chased border and five bezel-set turquoise enamel cabochons.,N0075
431,Image;StillImage,image/jpeg,"Unknown;British;Copper with enamel cabochon and wood liner;Birmingham, England",JSMA2014:38.31,Unknown,British,ca. 1900,Box,Copper with enamel cabochon and wood liner,H. 4-1/2 x W. 7-1/4 x D. 3-1/4 inches,jsma2014_38_31,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27186;type=101,"Birmingham, England",Box with riveted strap work edges that form four feet. Double-walled lid has chased medalion at center with bright green enamel cabochon.,P0139/S0077
418,Image;StillImage,image/jpeg,"Bare, Henry Bloomfield;British;Copper;Liverpool, England",JSMA2014:38.32,"Bare, Henry Bloomfield",British,1908,Box,Copper,H. 4 x W. 8 x D. 4-3/16 inches,jsma2014_38_32,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27187;type=101,"Liverpool, England",Box with clasp and riveted strapwork edges that form feet. Strap work medallion on lid.,P0136
283,Image;StillImage,image/jpeg,"Württembergische Metallwarenfabrik;German;Copper and glass;Geislingen an der Steige, Germany","JSMA2014:38.33a,b",Württembergische Metallwarenfabrik,German,ca. 1915,Decanter stands,Copper and glass,each: H. 3-1/2 x Diam. 4-1/4 inches,jsma2014_38_33,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27188;type=101,"Geislingen an der Steige, Germany","Like the British Arts and Crafts Movement, the Vienna Secession Movement or Sezessionstil emphasized the role of craftsmanship and elevated the status of the decorative arts. Applying composer Richard Wagner’s notion of gesamtkunstwerk-- a total work of art--Sezessionstil artists sought to create harmony between materials, objects, and interiors.
Marks: The running ostrich inside of a rhombus is the maker’s mark of the German company Würtemburgische Machin Fabrik AG, used until 1914. The ostrich is a nod to one of the company’s founders, Daniel Strauß (the German word for ostrich is Strauß).",N0200
257,Image;StillImage,image/jpeg,Unknown;British;Copper;England,JSMA2014:38.34,Unknown,British,n.d.,Letter opener,Copper,6-3/16 inches,jsma2014_38_34,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27189;type=101,England,,N1154
309,Image;StillImage,image/jpeg,"Jarvie, Robert Riddle;American;Bronze;Chicago, Illinois","JSMA2014:38.35a,b","Jarvie, Robert Riddle",American,1920,Candlesticks,Bronze,each: H. 17-7/8 x Diam. 5-3/4 inches,jsma2014_38_35,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27190;type=101,"Chicago, Illinois",,N0001
258,Image;StillImage,image/jpeg,Unknown;Undetermined;bronze;Possibly UK,"JSMA2014:38.36a,b",Unknown,Undetermined,ca. 1920,Bookends,bronze,each: H. 4-3/4 x W. 5-1/2 x D. 2-1/2 inches,jsma2014_38_36,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27191;type=101,Possibly UK,,P0149
259,Image;StillImage,image/jpeg,"Art Crafts Shop;American;Copper with silver and emerald cabochons;Buffalo, New York",JSMA2014:38.37,Art Crafts Shop,American,1905,Pen tray,Copper with silver and emerald cabochons,H. 5/8 x W. 8-15/16 x D. 3-1/8 inches,jsma2014_38_37,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27192;type=101,"Buffalo, New York","Born into a family of jewelers in Buffalo, New York, Otto Heintz purchased a small silver shop in 1902 with his partner Bernard Carpenter. The men renamed it Art Crafts Shop and began to design and manufacture medieval-style enameled copper items. The decoration on this pen tray is indicative of the shop’s experimentation of other materials on copper.",P0112
260,Image;StillImage,image/jpeg,"Roycroft;American;Copper;East Aurora, New York","JSMA2014:38.38a,b",Roycroft,American,1905,Bookends,Copper,each: H. 5-3/16 x W. 4-3/16 x D. 3-3/4 inches,jsma2014_38_38,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27193;type=101,"East Aurora, New York",,N1021
315,Image;StillImage,image/jpeg,"Roycroft;American;Copper;East Aurora, New York",JSMA2014:38.39,Roycroft,American,ca. 1915-25,Vase,Copper,overall: H. 4 1/2 x W. 6 1/2 in; H. 11.43 x W. 16.51 cm,jsma2014_38_39,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27194;type=101,"East Aurora, New York",,N1020
571,Image;StillImage,image/jpeg,"Zimmermann, Marie;American;Copper;New York",JSMA2014:38.4,"Zimmermann, Marie",American,ca. 1915,Planter,Copper,overall: H. 6 3/8 x W. 15 in; H. 16.1925 x W. 38.1 cm,jsma2014_38_4,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27159;type=101,New York,,N0074
491,Image;StillImage,image/jpeg,"Keswick School of Industrial Handicraft;British;Brass;Keswick, England",JSMA2014:38.40,Keswick School of Industrial Handicraft,British,ca. 1905,Tray,Brass,Diam. 22 inches,jsma2014_38_40,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27195;type=101,"Keswick, England",Charger with fluted rim and field chasing with lion-head profile motif.,N0408
450,Image;StillImage,image/jpeg,"Unknown;British;Silverplate, enamel cabochon, wood liner;United Kingdom",JSMA2014:38.41,Unknown,British,ca. 1910,Cigarette box,"Silverplate, enamel cabochon, wood liner",H. 2-3/4 x W. 4-3/4 x D. 4-1/4 inches,jsma2014_38_41,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27196;type=101,United Kingdom,Box with overhanging lid and four bracketed feet with rivets. Off-center enamel cabochon on lid.,N0078
284,Image;StillImage,image/jpeg,"Marshall Field & Company Craft Shop;American;Brass and glass;Chicago, Illinois",JSMA2014:38.42,Marshall Field & Company Craft Shop,American,ca. 1904-50,Inkwell,Brass and glass,H. 3-1/4 x D. 4- 5/16 x W. 4-5/16 inches,jsma2014_38_42,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27197;type=101,"Chicago, Illinois","Conical double-walled inkwell chased scroll decoration, glass inset ink well.",T0056
432,Image;StillImage,image/jpeg,"Unknown;British;Copper with enamel cabochon;Birmingham, England",JSMA2014:38.43,Unknown,British,1905,Box,Copper with enamel cabochon,H. 3-1/2 x W. 11-7/8 x D. 5-1/2 inches,jsma2014_38_43,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27198;type=101,"Birmingham, England","Box with hammered finish and riveted strapwork forming four bracketed feet with scrolling. Applied center strap with rivets on hinged cover, bezel-set heart-shaped enamel cabochon at center.",N0271
261,Image;StillImage,image/jpeg,"Hochstetler, Tony;American;Patinated bronze;Fort Collins, Colorado",JSMA2014:38.44,"Hochstetler, Tony",American,2002,Letter opener,Patinated bronze,6-5/8 inches,jsma2014_38_44,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27199;type=101,"Fort Collins, Colorado",,N0272
262,Image;StillImage,image/jpeg,"Heintz Art Metal Shop;American;Patinated copper, silver;Buffalo, New York",JSMA2014:38.45,Heintz Art Metal Shop,American,ca. 1925,Letter opener,"Patinated copper, silver",9-3/8 inches,jsma2014_38_45,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27200;type=101,"Buffalo, New York",,N0273
263,Image;StillImage,image/jpeg,Unknown;Undetermined;Copper with sterling silver;,JSMA2014:38.46,Unknown,Undetermined,ca. 1915,Letter opener,Copper with sterling silver,H. 1/4 x W. 9-1/4 x D. 1-5/8 inches,jsma2014_38_46,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27201;type=101,,"Letter opener with hammered finish and 'dog nose' terminal, handle with applied rivets and silver strapwork.",N0274
400,Image;StillImage,image/jpeg,"Dresser, Christopher; Benham & Froud;British;Copper, brass, and ebony;London, England",JSMA2014:38.47,"Dresser, Christopher; Benham & Froud",British,ca. 1885,Teapot,"Copper, brass, and ebony",H. 10 x W. 8-3/4 x D. 5-1/2 inches,jsma2014_38_47,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27202;type=101,"London, England","The British designer Christopher Dresser drew inspiration from the natural world and various cultures around the world. His visit to Japan in 1876 profoundly affected his approach to design. Dresser promoted design reform through affordable, functional domestic objects, using machine processes and modern forms. His designs spanned a variety of media, including wallpaper, textiles, carpets, ceramic, furniture, and metalwork. Ahead of his time, Dresser created many items that are still in production today. This squat, circular, footed tea kettle features an ebony handle and brass details.",N0054
401,Image;StillImage,image/jpeg,Unknown;British;Patinated copper;England,JSMA2014:38.48,Unknown,British,1900,Footed bowl,Patinated copper,H. 3-7/8 x Diam. 9-3/4 inches,jsma2014_38_48,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27203;type=101,England,Flared bowl with molded rim and spreading foot. Stylized chasing in berry and swirl motif decorates exterior rim.,S0123
433,Image;StillImage,image/jpeg,"Unknown;British;Copper, enamel cabochon;Birmingham, England",JSMA2014:38.49,Unknown,British,ca. 1905,Cigarette box,"Copper, enamel cabochon",H. 2-1/8 x W. 8- 9/16 x D. 4-1/8 inches,jsma2014_38_49,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27204;type=101,"Birmingham, England",Box with riveted strapwork edges forming feet. Applied plate with rivets on lid with heart-shaped green enamel cabochon at center.,N0014
316,Image;StillImage,image/jpeg,"Stickley, Gustav;American;Copper;United States",JSMA2014:38.50,"Stickley, Gustav",American,ca. 1915,Warty bowl,Copper,H. 4 x Diam. 7 5/8 inches,jsma2014_38_50,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27205;type=101,United States,,P0146/S0124
317,Image;StillImage,image/jpeg,"Stickley, Gustav;American;Copper;United States",JSMA2014:38.50,"Stickley, Gustav",American,ca. 1915,Warty bowl,Copper,H. 4 x Diam. 7 5/8 inches,jsma2014_38_50,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27205;type=101,United States,,P0148/S0124
264,Image;StillImage,image/jpeg,"Roycroft;American;Copper;East Aurora, New York","JSMA2014:38.51a,b",Roycroft,American,ca. 1910-20,Bookends,Copper,each: 8-3/8 x 5-3/4 x 3-3/4 inches,jsma2014_38_51,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27206;type=101,"East Aurora, New York",,P0141
467,Image;StillImage,image/jpeg,"Dresser, Christopher; Hukin & Heath;British;Silverplate;London, England",JSMA2014:38.52,"Dresser, Christopher; Hukin & Heath",British,1881,Toast rack,Silverplate,H. 4-7/8 x W. 6-7/8 x D. 4 inches,jsma2014_38_52,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27207;type=101,"London, England","Created in 1881, this letter rack/toast rack designed by Christopher Dresser for Hukin & Heath is remarkable for its modern sensibilities. Dresser’s interest in new technology in silver, namely silver plating, led him to create functional, economical objects that privileged the purity of line. This toast rack is designed to emulate a Japanese bridge, with a curving stand on four ball feet and hinged brackets with matching ball joints.",N0164
